URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://terminology.hl7.org/CodeSystem/v3-RoleClass,4.0.0,active,"2.16.840.1.113883.5.110",RoleClass,RoleClass,"Codes for the Role class hierarchy. The values in this hierarchy, represent a Role which is an association or relationship between two entities - the entity that plays the role and the entity that scopes the role. Roles names are derived from the name of the playing entity in that role.    The role hierarchy stems from three core concepts, or abstract domains:     *  **RoleClassOntological** is an abstract domain that collects roles in which the playing entity is defined or specified by the scoping entity.   *  **RoleClassPartitive** collects roles in which the playing entity is in some sense a ""part"" of the scoping entity.   *  **RoleClassAssociative** collects all of the remaining forms of association between the playing entity and the scoping entity. This set of roles is further partitioned between:             *  **RoleClassPassive** which are roles in which the playing entity is used, known, treated, handled, built, or destroyed, etc. under the auspices of the scoping entity. The playing entity is passive in these roles in that the role exists without an agreement from the playing entity.       *  **RoleClassMutualRelationship** which are relationships based on mutual behavior of the two entities. The basis of these relationship may be formal agreements or they may be *de facto* behavior. Thus, this sub-domain is further divided into:                     *  **RoleClassRelationshipFormal** in which the relationship is formally defined, frequently by a contract or agreement.           *  **Personal relationship** which inks two people in a personal relationship.    The hierarchy discussed above is represented In the current vocabulary tables as a set of abstract domains, with the exception of the ""Personal relationship"" which is a leaf concept.    *OpenIssue:* Description copied from Concept Domain of same name. Must be verified.","ValueSet/v3-RoleClass,ValueSet/relatedperson-relationshiptype,ValueSet/person-relationship-class"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/relatedperson-relationshiptype"
https://fhir.ee/CodeSystem/disability-level,1.0.0,draft,,EEMPIDisabilityLevel,Disability level,"Puude raskusaste","ValueSet/disability-level"
https://fhir.ee/CodeSystem/education-level,1.0.0,draft,,EEMPIEducationLevel,Education level,"Omandatud kõrgeim haridustase","ValueSet/education-level"
https://fhir.ee/CodeSystem/identifier-domain,1.0.0,active,,EEBaseIdentifierDomain,Identifier Domain,"Description of the identifier systems acceptable for entity identification","ValueSet/patient-identifier-domain"
https://fhir.ee/CodeSystem/incapacity-for-work-category,1.0.0,draft,,EEMPIIncapacityForWorkCategory,Category of Incapacity For Work,"Töövõimetuse määr","ValueSet/incapacity-for-work-category"
https://fhir.ee/CodeSystem/legal-status,1.0.0,draft,,EEMPILegalStatus,Legal Status,"The legal status that applies to the patient. The legal status indicates the basis on which the patient is staying in a healthcare organization. This can be either voluntary or involuntary, however the legal status is always determined by a judge. A patient can also receive healthcare based on a forensic status.","ValueSet/legal-status"
https://fhir.ee/CodeSystem/occupation,1.0.0,draft,,EEBaseOccupation,Classification of Occupations,"Estonian Edition of International Standard Classification of Occupations. Based on ISCO-88","ValueSet/occupation"
https://fhir.ee/CodeSystem/occupation-type,1.0.0,draft,,EEMPIOccupationType,Type of employment,"","ValueSet/occupation-type"
https://fhir.ee/CodeSystem/power-of-attorney,1.0.0,draft,,EEMPIPowerOfAttorney,PowerOfAttorney Status,"Hooldusõiguse liik","ValueSet/power-of-attorney"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/all-languages"
